Country_Code,Country,Year,Production,Land,Labor,N,P,K,Pesticides,fert,lnprod,lnland,lnlabor,lnN,lnP,lnK,lnpest,lnfert
2,Armenia,1992,931,1170000,617909,15000,5000,5000,8,25000,7,14,13,10,9,9,2,10
2,Armenia,2002,908,1391000,449209,15700,8,0,89,15708,7,14,13,10,2,,4,10
2,Armenia,2003,995,1444000,437764,10450,9,5,98,10464,7,14,13,9,2,2,5,9
2,Armenia,2004,1123,1505000,430899,13187,1209,5,205,14401,7,14,13,9,7,2,5,10
2,Armenia,2005,1252,1605000,422473,10251,33,41,221,10325,7,14,13,9,3,4,5,9
2,Armenia,2006,1273,1756400,413885,57900,0,1,228,57901,7,14,13,11,,-1,5,11
2,Armenia,2007,1407,1751900,408177,26808,0,12,242,26820,7,14,13,10,,2,5,10
2,Armenia,2008,1436,1748800,405044,24331,23,36,218,24390,7,14,13,10,3,4,5,10
2,Armenia,2009,1425,1746300,403224,39542,0,5,198,39547,7,14,13,11,-1,2,5,11
2,Armenia,2010,1254,1735000,409569,29587,34,4,279,29626,7,14,13,10,4,1,6,10
2,Armenia,2011,1389,1698100,425997,35947,416,4,317,36366,7,14,13,10,6,1,6,11
2,Armenia,2012,1503,1683000,416198,57447,66,514,354,58027,7,14,13,11,4,6,6,11
2,Armenia,2013,1584,2051000,413652,58594,559,39,392,59193,7,15,13,11,6,4,6,11
2,Armenia,2014,1680,2049400,387333,48636,2777,1700,430,53113,7,15,13,11,8,7,6,11
2,Armenia,2015,1782,2045700,385450,63282,1676,82,468,65040,7,15,13,11,7,4,6,11
2,Armenia,2016,1650,2045500,362616,146292,324,915,505,147531,7,15,13,12,6,7,6,12
2,Armenia,2017,1588,2043800,336263,90106,23,210,543,90339,7,15,13,11,3,5,6,11
2,Armenia,2018,1434,2044500,327215,90106,23,210,581,90339,7,15,13,11,3,5,6,11
3,Azerbaijan,1992,2392,4446200,1300198,50000,20000,5000,149,75000,8,15,14,11,10,9,5,11
3,Azerbaijan,1993,1993,4456600,1309228,34000,15000,5000,149,54000,8,15,14,10,10,9,5,11
3,Azerbaijan,1997,1857,4588700,1327631,20000,2700,1000,149,23700,8,15,14,10,8,7,5,10
3,Azerbaijan,2002,2942,4744900,1332730,15751,1565,1854,149,19170,8,15,14,10,7,8,5,10
3,Azerbaijan,2003,3086,4754600,1362474,12586,265,1199,149,14050,8,15,14,9,6,7,5,10
3,Azerbaijan,2004,3145,4754900,1404131,19645,353,2044,149,22042,8,15,14,10,6,8,5,10
3,Azerbaijan,2005,3486,4758600,1441965,17575,3214,3837,149,24626,8,15,14,10,8,8,5,10
3,Azerbaijan,2006,3521,4756000,1494663,20356,2100,2105,149,24561,8,15,14,10,8,8,5,10
3,Azerbaijan,2007,3613,4756500,1493182,16783,1322,1617,149,19722,8,15,14,10,7,7,5,10
3,Azerbaijan,2008,3776,4756700,1579525,29670,6030,3248,263,38948,8,15,14,10,9,8,6,11
3,Azerbaijan,2009,3989,4757300,1562275,19277,2670,3186,316,25133,8,15,14,10,8,8,6,10
3,Azerbaijan,2010,3863,4766800,1603238,12812,2132,3812,334,18756,8,15,14,9,8,8,6,10
3,Azerbaijan,2011,4091,4768700,1622870,22512,3115,3742,462,29369,8,15,14,10,8,8,6,10
